vg_object_id,UpNoun,NormalNoun,DownNoun
2298362,动物,羊,绵羊
3556707,动物,牛,水牛
3960187,人,运动员,网球运动员
3273691,人,运动员,篮球运动员
3110275,动物,鸟,灰雀
2637056,动物,羊,绵羊
3392338,动物,熊,黑熊
2678297,动物,鸟,苍鹭
3777606,动物,鸟,孔雀
146131,动物,鸟,红鹦鹉
834928,动物,鸡,土鸡
3960820,人,运动员,足球运动员
653443,动物,鸟,鸽子
3627437,人,运动员,棒球运动员
226061,动物,鸟,海鸥
173748,动物,猫,橘猫
2746869,植物,花,鸢尾花
2487758,动物,羊,绵羊
1113936,植物,花,菊花
2333331,人,运动员,足球运动员
230996,动物,狗,博美犬
2162294,动物,鸟,海鸥
1206080,动物,熊,棕熊
672752,动物,牛,黄牛
1538388,植物,花,菊花
511037,动物,羊,绵羊
971735,动物,狗,拉布拉多
3024418,植物,花,白菊
256924,动物,猫,狸花猫
2623413,人,运动员,网球运动员
264145,家具,桌子,电脑桌
2416631,载具,飞机,客机
261223,载具,飞机,战斗机
1113261,衣服,裙子,碎花裙
2377552,建筑,店铺,咖啡店
2177658,建筑,店铺,商店
552679,家具,床,双人床
2986259,载具,飞机,战斗机
273218,食物,蛋糕,奶油蛋糕
3789120,家具,桌子,电脑桌
2403045,衣服,裙子,婚纱
2146369,衣服,外套,西装
961547,载具,汽车,巴士
1845057,衣服,外套,西装
556533,食物,馅饼,披萨
3338224,家具,刀,折叠刀
937444,食物,面条,意大利面
914558,载具,汽车,巴士
725035,家具,桌子,橱柜
1351071,衣服,T恤,短袖
2119153,建筑,房屋,厕所
2075639,载具,船,帆船
3324843,衣服,裙子,裙子
3749927,家具,刀,水果刀
2071296,家具,桌子,酒桌
2492155,载具,汽车,皮卡
1259265,建筑,桥,高架桥
1168112,载具,汽车,警车
767290,载具,汽车,跑车
877423,建筑,房屋,铁棚
