???,??,???
result_data,2,result-data-upWord-2177658
result_data,3,result-data-free-226061
result_data,4,result-data-2487758
result_data,5,result-data-2678297
result_data,6,result-data-normalWord-3338224
result_data,7,result-data-upWord-2678297
result_data,8,result-data-special-256924
result_data,9,result-data-273218
result_data,10,result-data-free-256924
result_data,11,result-data-upWord-1206080
result_data,12,result-data-special-173748
result_data,13,result-data-normalWord-173748
result_data,14,result-data-normalWord-672752
result_data,15,result-data-downWord-2071296
result_data,16,result-data-free-2637056
result_data,17,result-data-upWord-2487758
result_data,18,result-data-173748
result_data,19,result-data-free-937444
result_data,20,result-data-146131
result_data,21,result-data-downWord-2678297
result_data,22,result-data-downWord-2986259
result_data,23,result-data-free-2492155
result_data,24,result-data-downWord-877423
result_data,25,result-data-normalWord-2298362
result_data,26,result-data-downWord-2487758
result_data,27,result-data-downWord-3556707
result_data,28,result-data-special-273218
result_data,29,result-data-normalWord-653443
result_data,30,result-data-upWord-256924
result_data,31,result-data-free-3960820
result_data,32,result-data-upWord-3749927
result_data,33,result-data-normalWord-834928
result_data,34,result-data-free-2377552
result_data,35,result-data-special-2492155
result_data,36,result-data-264145
result_data,37,result-data-3392338
result_data,38,result-data-free-556533
result_data,39,result-data-special-1206080
result_data,40,result-data-3960187
result_data,41,result-data-special-2333331
result_data,42,result-data-upWord-3110275
result_data,43,result-data-2146369
result_data,44,result-data-special-3324843
result_data,45,result-data-725035
result_data,46,result-data-2162294
result_data,47,result-data-special-2071296
result_data,48,result-data-normalWord-1259265
result_data,49,result-data-normalWord-2146369
result_data,50,result-data-downWord-552679
result_data,51,result-data-upWord-1259265
result_data,52,result-data-normalWord-961547
result_data,53,result-data-upWord-3789120
result_data,54,result-data-normalWord-914558
result_data,55,result-data-downWord-2986259
result_data,56,result-data-free-261223
result_data,57,result-data-special-2403045
result_data,58,result-data-downWord-1168112
result_data,59,result-data-special-3110275
result_data,60,result-data-upWord-2075639
result_data,61,result-data-special-937444
result_data,62,result-data-normalWord-3110275
result_data,63,result-data-downWord-2146369
result_data,64,result-data-special-3777606
result_data,65,result-data-free-3392338
result_data,66,result-data-1845057
result_data,67,result-data-upWord-552679
result_data,68,result-data-upWord-3324843
result_data,69,result-data-downWord-3273691
result_data,70,result-data-free-3777606
result_data,71,result-data-downWord-2075639
result_data,72,result-data-free-2119153
result_data,73,result-data-downWord-146131
result_data,75,result-data-normalWord-971735
result_data,76,result-data-free-834928
result_data,77,result-data-normalWord-672752
result_data,78,result-data-upWord-2377552
result_data,79,result-data-special-3749927
result_data,80,result-data-free-173748
result_data,81,result-data-special-2746869
result_data,82,result-data-normalWord-3338224
result_data,83,result-data-upWord-2678297
result_data,84,result-data-2492155
result_data,85,result-data-1259265
result_data,86,result-data-downWord-2487758
result_data,87,result-data-special-725035
result_data,88,result-data-free-2377552
result_data,89,result-data-special-556533
result_data,90,result-data-upWord-1845057
result_data,91,result-data-downWord-1538388
result_data,92,result-data-downWord-173748
result_data,93,result-data-upWord-653443
result_data,94,result-data-free-672752
result_data,95,result-data-special-3789120
result_data,96,result-data-special-1113261
result_data,97,result-data-special-2071296
result_data,98,result-data-free-2492155
result_data,99,result-data-normalWord-511037
result_data,100,result-data-special-2333331
