??,??,???
result_data_only,4,result-data-2487758
result_data_only,5,result-data-2678297
result_data_only,9,result-data-273218
result_data_only,18,result-data-173748
result_data_only,20,result-data-146131
result_data_only,36,result-data-264145
result_data_only,37,result-data-3392338
result_data_only,40,result-data-3960187
result_data_only,43,result-data-2146369
result_data_only,45,result-data-725035
result_data_only,46,result-data-2162294
result_data_only,66,result-data-1845057
result_data_only,84,result-data-2492155
result_data_only,85,result-data-1259265
result_data_only,109,result-data-173748
result_data_only,110,result-data-725035
result_data_only,119,result-data-226061
result_data_only,120,result-data-552679
result_data_only,131,result-data-2146369
result_data_only,137,result-data-3777606
result_data_only,141,result-data-672752
result_data_only,145,result-data-1351071
result_data_only,154,result-data-273218
result_data_only,171,result-data-3324843
result_data_only,191,result-data-3392338
result_data_only,194,result-data-2333331
result_data_only,201,result-data-3960187
result_data_only,211,result-data-2146369
result_data_only,212,result-data-226061
result_data_only,214,result-data-1259265
result_data_only,224,result-data-2637056
result_data_only,237,result-data-256924
result_data_only,238,result-data-2986259
result_data_only,244,result-data-556533
result_data_only,245,result-data-3392338
result_data_only,246,result-data-3556707
result_data_only,272,result-data-653443
result_data_only,274,result-data-3789120
result_data_only,279,result-data-1206080
result_data_only,286,result-data-273218
result_data_only,291,result-data-3960820
result_data_only,300,result-data-3556707
result_data_only,305,result-data-146131
result_data_only,322,result-data-2986259
result_data_only,333,result-data-511037
result_data_only,335,result-data-173748
result_data_only,341,result-data-3338224
result_data_only,348,result-data-725035
result_data_only,353,result-data-937444
result_data_only,356,result-data-834928
result_data_only,359,result-data-653443
result_data_only,362,result-data-2146369
result_data_only,363,result-data-1113936
result_data_only,367,result-data-767290
result_data_only,368,result-data-226061
result_data_only,445,result-data-1351071
result_data_only,466,result-data-3273691
result_data_only,470,result-data-2177658
result_data_only,530,result-data-226061
result_data_only,539,result-data-273218
result_data_only,540,result-data-1259265
result_data_only,545,result-data-725035
result_data_only,547,result-data-3324843
result_data_only,566,result-data-2333331
result_data_only,567,result-data-3273691
result_data_only,586,result-data-2146369
result_data_only,588,result-data-226061
result_data_only,593,result-data-3324843
result_data_only,594,result-data-273218
result_data_only,621,result-data-3392338
result_data_only,625,result-data-725035
result_data_only,636,result-data-1259265
result_data_only,647,result-data-3273691
result_data_only,648,result-data-2637056
result_data_only,652,result-data-2333331
result_data_only,655,result-data-3960187
result_data_only,669,result-data-173748
result_data_only,678,result-data-146131
result_data_only,683,result-data-914558
result_data_only,708,result-data-226061
result_data_only,720,result-data-261223
result_data_only,732,result-data-877423
result_data_only,742,result-data-834928
result_data_only,746,result-data-767290
result_data_only,747,result-data-2075639
result_data_only,767,result-data-3556707
result_data_only,771,result-data-1259265
result_data_only,774,result-data-264145
result_data_only,776,result-data-971735
result_data_only,780,result-data-552679
result_data_only,792,result-data-2333331
result_data_only,808,result-data-767290
result_data_only,819,result-data-3324843
result_data_only,820,result-data-2416631
result_data_only,828,result-data-3627437
result_data_only,838,result-data-1845057
result_data_only,848,result-data-3556707
result_data_only,854,result-data-256924
result_data_only,865,result-data-3749927
result_data_only,866,result-data-1168112
result_data_only,867,result-data-3110275
result_data_only,876,result-data-1259265
result_data_only,881,result-data-725035
result_data_only,887,result-data-264145
result_data_only,891,result-data-3627437
result_data_only,898,result-data-146131
result_data_only,906,result-data-2746869
result_data_only,929,result-data-230996
result_data_only,930,result-data-2333331
result_data_only,931,result-data-2177658
result_data_only,937,result-data-2403045
result_data_only,939,result-data-937444
result_data_only,940,result-data-2623413
result_data_only,947,result-data-3324843
result_data_only,957,result-data-725035
result_data_only,962,result-data-834928
result_data_only,971,result-data-1351071
result_data_only,974,result-data-1206080
result_data_only,983,result-data-2678297
result_data_only,987,result-data-3338224
result_data_only,1002,result-data-273218
result_data_only,1003,result-data-672752
result_data_only,1010,result-data-3960187
result_data_only,1013,result-data-261223
result_data_only,1014,result-data-961547
result_data_only,1020,result-data-914558
result_data_only,1039,result-data-173748
result_data_only,1043,result-data-3960187
result_data_only,1050,result-data-146131
result_data_only,1057,result-data-971735
result_data_only,1062,result-data-1259265
result_data_only,1071,result-data-2333331
result_data_only,1079,result-data-3110275
result_data_only,1081,result-data-3024418
result_data_only,1082,result-data-3777606
result_data_only,1083,result-data-653443
result_data_only,1091,result-data-3338224
result_data_only,1092,result-data-2416631
result_data_only,1097,result-data-2146369
result_data_only,1113,result-data-2071296
result_data_only,1116,result-data-672752
result_data_only,1121,result-data-3789120
result_data_only,1123,result-data-1351071
result_data_only,1131,result-data-2333331
result_data_only,1133,result-data-877423
result_data_only,1138,result-data-2162294
result_data_only,1149,result-data-2746869
result_data_only,1158,result-data-273218
result_data_only,1183,result-data-3777606
result_data_only,1190,result-data-3110275
result_data_only,1206,result-data-2075639
result_data_only,1212,result-data-146131
result_data_only,1224,result-data-264145
result_data_only,1232,result-data-552679
result_data_only,1233,result-data-2071296
result_data_only,1244,result-data-672752
result_data_only,1245,result-data-146131
result_data_only,1257,result-data-2403045
result_data_only,1282,result-data-173748
result_data_only,1283,result-data-725035
result_data_only,1293,result-data-1113261
result_data_only,1296,result-data-3273691
result_data_only,1300,result-data-3024418
result_data_only,1311,result-data-264145
result_data_only,1316,result-data-971735
result_data_only,1319,result-data-3392338
result_data_only,1330,result-data-3749927
result_data_only,1336,result-data-2487758
result_data_only,1349,result-data-2986259
result_data_only,1351,result-data-273218
result_data_only,1374,result-data-3777606
result_data_only,1378,result-data-653443
result_data_only,1380,result-data-230996
result_data_only,1386,result-data-3789120
result_data_only,1391,result-data-226061
result_data_only,1419,result-data-725035
result_data_only,1424,result-data-2377552
result_data_only,1425,result-data-3110275
result_data_only,1439,result-data-511037
result_data_only,1447,result-data-914558
result_data_only,1450,result-data-2678297
result_data_only,1466,result-data-2746869
result_data_only,1468,result-data-1206080
result_data_only,1486,result-data-3777606
result_data_only,1489,result-data-511037
result_data_only,1511,result-data-725035
result_data_only,1515,result-data-226061
result_data_only,1529,result-data-1351071
result_data_only,1539,result-data-256924
result_data_only,1543,result-data-2146369
result_data_only,1544,result-data-2492155
result_data_only,1546,result-data-3777606
result_data_only,1553,result-data-3749927
result_data_only,1555,result-data-273218
result_data_only,1558,result-data-2623413
result_data_only,1562,result-data-261223
result_data_only,1565,result-data-877423
result_data_only,1570,result-data-2416631
result_data_only,1602,result-data-1113936
result_data_only,1608,result-data-2071296
result_data_only,1613,result-data-1538388
result_data_only,1617,result-data-3627437
result_data_only,1618,result-data-2637056
result_data_only,1620,result-data-2623413
result_data_only,1626,result-data-2119153
result_data_only,1633,result-data-2162294
result_data_only,1636,result-data-3392338
result_data_only,1639,result-data-273218
result_data_only,1654,result-data-226061
result_data_only,1664,result-data-971735
result_data_only,1689,result-data-672752
result_data_only,1696,result-data-2071296
result_data_only,1713,result-data-2487758
result_data_only,1714,result-data-1259265
result_data_only,1718,result-data-3392338
result_data_only,1725,result-data-1113261
result_data_only,1734,result-data-877423
result_data_only,1742,result-data-2416631
result_data_only,1748,result-data-3024418
result_data_only,1756,result-data-2678297
result_data_only,1766,result-data-2487758
result_data_only,1780,result-data-3789120
result_data_only,1790,result-data-146131
result_data_only,1795,result-data-511037
result_data_only,1831,result-data-2333331
result_data_only,1840,result-data-2377552
result_data_only,1841,result-data-2075639
result_data_only,1846,result-data-3960187
result_data_only,1849,result-data-3338224
result_data_only,1850,result-data-3749927
result_data_only,1858,result-data-2403045
result_data_only,1873,result-data-653443
result_data_only,1876,result-data-877423
result_data_only,1891,result-data-672752
result_data_only,1892,result-data-511037
result_data_only,1904,result-data-653443
result_data_only,1906,result-data-2298362
result_data_only,1914,result-data-1845057
result_data_only,1917,result-data-2075639
result_data_only,1929,result-data-3789120
result_data_only,1938,result-data-2146369
result_data_only,1943,result-data-226061
result_data_only,1948,result-data-2637056
result_data_only,1949,result-data-3024418
result_data_only,1970,result-data-877423
result_data_only,1981,result-data-3749927
result_data_only,1988,result-data-2492155
result_data_only,1989,result-data-2623413
result_data_only,1990,result-data-230996
result_data_only,1996,result-data-2333331
result_data_only,2006,result-data-552679
result_data_only,2012,result-data-556533
result_data_only,2018,result-data-2075639
result_data_only,2024,result-data-3627437
result_data_only,2029,result-data-3324843
result_data_only,2038,result-data-226061
result_data_only,2050,result-data-173748
result_data_only,2051,result-data-672752
result_data_only,2062,result-data-1351071
result_data_only,2076,result-data-2177658
result_data_only,2084,result-data-256924
result_data_only,2095,result-data-3749927
result_data_only,2100,result-data-2162294
result_data_only,2111,result-data-961547
result_data_only,2115,result-data-2333331
result_data_only,2123,result-data-3273691
result_data_only,2131,result-data-2071296
result_data_only,2143,result-data-672752
result_data_only,2154,result-data-552679
result_data_only,2156,result-data-2492155
result_data_only,2157,result-data-3556707
result_data_only,2163,result-data-3110275
result_data_only,2169,result-data-1206080
result_data_only,2185,result-data-2146369
result_data_only,2188,result-data-511037
result_data_only,2203,result-data-2487758
result_data_only,2215,result-data-961547
result_data_only,2223,result-data-971735
result_data_only,2235,result-data-2075639
result_data_only,2241,result-data-2333331
result_data_only,2250,result-data-2678297
result_data_only,2252,result-data-2637056
result_data_only,2261,result-data-261223
result_data_only,2264,result-data-1259265
result_data_only,2268,result-data-2623413
result_data_only,2282,result-data-273218
result_data_only,2302,result-data-2678297
result_data_only,2308,result-data-3338224
result_data_only,2311,result-data-1206080
result_data_only,2322,result-data-2075639
result_data_only,2330,result-data-914558
result_data_only,2336,result-data-1351071
result_data_only,2338,result-data-2403045
result_data_only,2370,result-data-1259265
result_data_only,2378,result-data-3556707
result_data_only,2389,result-data-2333331
result_data_only,2394,result-data-767290
result_data_only,2398,result-data-3627437
result_data_only,2400,result-data-2298362
result_data_only,2401,result-data-1206080
result_data_only,2408,result-data-725035
result_data_only,2435,result-data-3777606
result_data_only,2439,result-data-961547
result_data_only,2441,result-data-511037
result_data_only,2452,result-data-2119153
result_data_only,2453,result-data-2071296
result_data_only,2465,result-data-556533
result_data_only,2470,result-data-3556707
result_data_only,2473,result-data-261223
result_data_only,2483,result-data-173748
result_data_only,2484,result-data-3960820
result_data_only,2511,result-data-226061
result_data_only,2516,result-data-3556707
result_data_only,2521,result-data-2623413
result_data_only,2524,result-data-3110275
result_data_only,2532,result-data-2119153
result_data_only,2544,result-data-961547
result_data_only,2547,result-data-2377552
result_data_only,2551,result-data-2146369
result_data_only,2554,result-data-511037
result_data_only,2588,result-data-261223
result_data_only,2602,result-data-256924
result_data_only,2604,result-data-3024418
result_data_only,2607,result-data-3392338
result_data_only,2610,result-data-226061
result_data_only,2623,result-data-2623413
result_data_only,2630,result-data-2403045
result_data_only,2634,result-data-3338224
result_data_only,2637,result-data-173748
result_data_only,2641,result-data-3110275
result_data_only,2646,result-data-1845057
result_data_only,2647,result-data-3789120
result_data_only,2652,result-data-2637056
result_data_only,2657,result-data-2678297
result_data_only,2669,result-data-2071296
result_data_only,2671,result-data-146131
result_data_only,2672,result-data-834928
result_data_only,2689,result-data-1113261
result_data_only,2704,result-data-3960187
result_data_only,2715,result-data-672752
result_data_only,2718,result-data-230996
result_data_only,2733,result-data-1113261
result_data_only,2744,result-data-3273691
result_data_only,2751,result-data-552679
result_data_only,2753,result-data-3627437
result_data_only,2769,result-data-961547
result_data_only,2770,result-data-2746869
result_data_only,2776,result-data-725035
result_data_only,2788,result-data-3338224
result_data_only,2813,result-data-2678297
result_data_only,2819,result-data-914558
result_data_only,2835,result-data-767290
result_data_only,2837,result-data-511037
result_data_only,2838,result-data-937444
result_data_only,2840,result-data-146131
result_data_only,2845,result-data-3324843
result_data_only,2847,result-data-2403045
result_data_only,2852,result-data-2678297
result_data_only,2857,result-data-3392338
result_data_only,2860,result-data-1845057
result_data_only,2869,result-data-2403045
result_data_only,2876,result-data-552679
result_data_only,2881,result-data-3556707
result_data_only,2884,result-data-3777606
result_data_only,2886,result-data-264145
result_data_only,2887,result-data-3273691
result_data_only,2898,result-data-767290
result_data_only,2905,result-data-261223
result_data_only,2929,result-data-173748
result_data_only,2931,result-data-256924
result_data_only,2938,result-data-552679
result_data_only,2939,result-data-2416631
result_data_only,2956,result-data-3392338
result_data_only,2962,result-data-146131
result_data_only,2973,result-data-937444
result_data_only,2995,result-data-834928
result_data_only,2996,result-data-3789120
result_data_only,3012,result-data-653443
result_data_only,3021,result-data-261223
result_data_only,3025,result-data-2487758
result_data_only,3026,result-data-256924
result_data_only,3027,result-data-2075639
result_data_only,3031,result-data-3556707
result_data_only,3039,result-data-2377552
result_data_only,3054,result-data-3110275
result_data_only,3055,result-data-2333331
result_data_only,3067,result-data-3960187
result_data_only,3069,result-data-914558
result_data_only,3073,result-data-2416631
result_data_only,3086,result-data-3273691
result_data_only,3096,result-data-273218
result_data_only,3098,result-data-877423
result_data_only,3107,result-data-261223
result_data_only,3112,result-data-2377552
result_data_only,3115,result-data-937444
result_data_only,3129,result-data-2071296
result_data_only,3131,result-data-3556707
result_data_only,3142,result-data-1113261
result_data_only,3146,result-data-146131
result_data_only,3152,result-data-3324843
result_data_only,3162,result-data-2162294
result_data_only,3175,result-data-3273691
result_data_only,3183,result-data-834928
result_data_only,3192,result-data-1113936
result_data_only,3195,result-data-3960187
result_data_only,3197,result-data-961547
result_data_only,3199,result-data-3749927
result_data_only,3207,result-data-2416631
result_data_only,3208,result-data-1206080
result_data_only,3213,result-data-2487758
result_data_only,3217,result-data-3110275
result_data_only,3231,result-data-3324843
result_data_only,3244,result-data-3338224
result_data_only,3252,result-data-1168112
result_data_only,3266,result-data-1351071
result_data_only,3271,result-data-2986259
